id,original_title,title,runtime
862,Toy Story,Toy Story,81.0
8844,Jumanji,Jumanji,104.0
15602,Grumpier Old Men,Grumpier Old Men,101.0
31357,Waiting to Exhale,Waiting to Exhale,127.0
11862,Father of the Bride Part II,Father of the Bride Part II,106.0
949,Heat,Heat,170.0
11860,Sabrina,Sabrina,127.0
45325,Tom and Huck,Tom and Huck,97.0
9091,Sudden Death,Sudden Death,106.0
710,GoldenEye,GoldenEye,130.0
9087,The American President,The American President,106.0
12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It,88.0
21032,Balto,Balto,78.0
10858,Nixon,Nixon,192.0
1408,Cutthroat Island,Cutthroat Island,119.0
524,Casino,Casino,178.0
4584,Sense and Sensibility,Sense and Sensibility,136.0
5,Four Rooms,Four Rooms,98.0
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,90.0
11517,Money Train,Money Train,103.0
8012,Get Shorty,Get Shorty,105.0
1710,Copycat,Copycat,124.0
9691,Assassins,Assassins,132.0
12665,Powder,Powder,111.0
451,Leaving Las Vegas,Leaving Las Vegas,112.0
16420,Othello,Othello,123.0
9263,Now and Then,Now and Then,100.0
17015,Persuasion,Persuasion,104.0
902,La Cité des Enfants Perdus,The City of Lost Children,108.0
37557,摇啊摇，摇到外婆桥,Shanghai Triad,108.0
9909,Dangerous Minds,Dangerous Minds,99.0
63,Twelve Monkeys,Twelve Monkeys,129.0
78802,"Guillaumet, les ailes du courage",Wings of Courage,50.0
9598,Babe,Babe,89.0
47018,Carrington,Carrington,121.0
687,Dead Man Walking,Dead Man Walking,122.0
139405,Across the Sea of Time,Across the Sea of Time,51.0
33689,It Takes Two,It Takes Two,101.0
9603,Clueless,Clueless,97.0
34615,"Cry, the Beloved Country","Cry, the Beloved Country",106.0
31174,Richard III,Richard III,104.0
11443,Dead Presidents,Dead Presidents,119.0
35196,Restoration,Restoration,117.0
9312,Mortal Kombat,Mortal Kombat,101.0
577,To Die For,To Die For,106.0
11861,How To Make An American Quilt,How To Make An American Quilt,116.0
807,Se7en,Se7en,127.0
10530,Pocahontas,Pocahontas,81.0
8391,When Night Is Falling,When Night Is Falling,96.0
629,The Usual Suspects,The Usual Suspects,106.0
117164,Guardian Angel,Guardian Angel,93.0
11448,Mighty Aphrodite,Mighty Aphrodite,95.0
49133,Lamerica,Lamerica,116.0
26441,The Big Green,The Big Green,100.0
97406,Georgia,Georgia,115.0
124057,Kids of the Round Table,Kids of the Round Table,89.0
9089,Home for the Holidays,Home for the Holidays,103.0
11010,Il postino,The Postman,108.0
99040,Le confessionnal,The Confessional,100.0
11359,The Indian in the Cupboard,The Indian in the Cupboard,96.0
17182,Eye for an Eye,Eye for an Eye,101.0
2054,Mr. Holland's Opus,Mr. Holland's Opus,137.0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0
19760,Two If by Sea,Two If by Sea,96.0
9536,Bio-Dome,Bio-Dome,88.0
11525,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,92.0
40628,Two Bits,Two Bits,85.0
4482,Gazon maudit,French Twist,95.0
10634,Friday,Friday,91.0
755,From Dusk Till Dawn,From Dusk Till Dawn,108.0
11859,Fair Game,Fair Game,91.0
28387,Kicking and Screaming,Kicking and Screaming,96.0
48750,Les misérables,Les Miserables,175.0
20927,Bed of Roses,Bed of Roses,87.0
36929,Big Bully,Big Bully,90.0
9102,Screamers,Screamers,108.0
124626,Nico Icon,Nico Icon,70.0
27526,The Crossing Guard,The Crossing Guard,111.0
9623,The Juror,The Juror,118.0
46785,بادکنک سفید,The White Balloon,85.0
400,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,116.0
880,Antonia,Antonia's Line,102.0
146599,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored,115.0
188588,Last Summer in the Hamptons,Last Summer in the Hamptons,108.0
8447,Angels and Insects,Angels and Insects,118.0
10534,White Squall,White Squall,129.0
17414,Dunston Checks In,Dunston Checks In,88.0
13997,Black Sheep,Black Sheep,87.0
2086,Nick of Time,Nick of Time,90.0
61548,The Journey of August King,The Journey of August King,91.0
9095,Mary Reilly,Mary Reilly,104.0
12158,Vampire in Brooklyn,Vampire in Brooklyn,100.0
9283,Beautiful Girls,Beautiful Girls,112.0
9208,Broken Arrow,Broken Arrow,108.0
40154,A Midwinter's Tale,A Midwinter's Tale,99.0
406,La Haine,La Haine,98.0
45549,Shopping,Shopping,105.0
63076,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam,106.0
11062,City Hall,City Hall,111.0
13685,Bottle Rocket,Bottle Rocket,91.0
47475,Mr. Wrong,Mr. Wrong,96.0
2045,Unforgettable,Unforgettable,106.0
9614,Happy Gilmore,Happy Gilmore,92.0
688,The Bridges of Madison County,The Bridges of Madison County,135.0
11907,Keiner liebt mich,Nobody Loves Me,104.0
10874,Muppet Treasure Island,Muppet Treasure Island,100.0
89333,Catwalk,Catwalk,95.0
96357,Headless Body in Topless Bar,Headless Body in Topless Bar,110.0
197,Braveheart,Braveheart,177.0
103,Taxi Driver,Taxi Driver,114.0
33542,紅番區,Rumble in the Bronx,91.0
43566,Before and After,Before and After,108.0
71754,Margaret's Museum,Margaret's Museum,114.0
43612,Le Bonheur est dans le pré,Happiness Is in the Field,106.0
51352,Anne Frank Remembered,Anne Frank Remembered,117.0
16934,The Young Poisoner's Handbook,The Young Poisoner's Handbook,99.0
10324,If Lucy Fell,If Lucy Fell,92.0
78406,Steal Big Steal Little,Steal Big Steal Little,113.0
55731,Race the Sun,Race the Sun,100.0
